,when_index,start_acc,end_acc,actual_hz,clip,frame,frame_file,source_file
0,1,0,0,29.97,10,1,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_100.png,acc01_10.avi
0,1,0,0,29.97,10,2,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_101.png,acc01_10.avi
0,1,0,0,29.97,10,3,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_102.png,acc01_10.avi
0,1,0,0,29.97,10,4,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_103.png,acc01_10.avi
0,1,1,0,29.97,10,5,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_104.png,acc01_10.avi
0,1,0,0,29.97,10,6,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_105.png,acc01_10.avi
0,1,0,0,29.97,10,7,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_106.png,acc01_10.avi
0,1,0,0,29.97,10,8,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_107.png,acc01_10.avi
0,1,0,0,29.97,10,9,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_108.png,acc01_10.avi
0,1,0,0,29.97,10,10,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_109.png,acc01_10.avi
0,1,0,0,29.97,9,1,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_90.png,acc02_9.avi
0,1,0,0,29.97,9,2,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_91.png,acc02_9.avi
0,1,0,0,29.97,9,3,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_92.png,acc02_9.avi
0,1,0,0,29.97,9,4,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_93.png,acc02_9.avi
0,1,0,0,29.97,9,5,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_94.png,acc02_9.avi
0,1,0,0,29.97,9,6,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_95.png,acc02_9.avi
0,1,0,0,29.97,9,7,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_96.png,acc02_9.avi
0,1,0,0,29.97,9,8,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_97.png,acc02_9.avi
0,1,1,0,29.97,9,9,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_98.png,acc02_9.avi
0,1,0,0,29.97,9,10,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_99.png,acc02_9.avi
0,1,0,0,25.0,3,1,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_30.png,acc03_3.avi
0,1,0,0,25.0,3,2,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_31.png,acc03_3.avi
0,1,1,0,25.0,3,3,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_32.png,acc03_3.avi
0,1,0,0,25.0,3,4,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_33.png,acc03_3.avi
0,1,0,0,25.0,3,5,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_34.png,acc03_3.avi
0,1,0,0,25.0,3,6,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_35.png,acc03_3.avi
